Tweet_text,Sentiment,topic
hey guys ummm yea i got covid-19 im being deadass I've been in quarantine for 7 days but I still have covered so another 7 days of quarantine what are you guys thoughts I should do in the quarantine?,Positive,Health condition
"I'm ready to go to work, with Covid dying down.",Positive,Trends
If I were the pangolin who invented Covid I’d make the ability to smell coffee return before the ability to smell the diaper garbage,Negative,Others
my aunt positive for covid and i just met her........,Neutral,Health condition
"Beginning Saturday, masks will no longer be required in most indoor spaces in Boston. 

While they are no longer required, it is important to remember that masks are effective at preventing COVID-19 transmission, especially for high-risk groups. #bospoli",Neutral,Policies
""" stop looking at covid as a partisan dividing line and start looking at it like a God awful disease...start looking at each other like fellow Americans"" -@POTUS #SOTU",Negative,Others
Welp. Dad is in the hospital again. Covid plus cancer plus 86 years old.,Negative,Health condition
Would like to ask Biden if the illegal migrants covid cases are improving?,Neutral,Others
"Y’all. This has been a rough year already. My car broke, I got Covid 2 weeks after my daughter was born, I got into a car accident, I lost my debit card twice, my mal de ojo bracelet came off 2 days after I put it on.",Negative,Health condition
"Re: covid :;
Dear / To: @WHO ;
The @CDCgov Sold Out. I Hope For The Sake Of The Rest Of The World , You Don't Sell Out. The United States As A Whole Are Selfish. Example: Mass Gatherings During A International Pandemic. The World Should Wear Masks Until covid Is Defeated. Period.",Negative,Policies
i can't breath because i just walked up three flights of stairs i promise i don't have covid,Negative,Health condition
"Just a reminder to the ppl that ve literally wanted death 2 all the ppl who didn’t wish 2b covid vaxed, if u r  praying 4 everyone in Ukraine a little reminder that around only a third of their population r vaxed so you’ve got a 2 in 3 chance of praying 4 ppl u wished death upon.",Negative,Others
"Scomo has covid. Are we sure? 
Did he ask Jenny to check? 
Did he take a RAT test or as the LNP calls a Spill? #auspol #SCOvid",Neutral,Health condition
"Russia - Ukraine crisis has done what COVID-19 tried to do - reveal the poo poo underneath the west's moral toga.

Take today's propaganda, cancel culture, selective amnesia and other tools they applied against Russia, reverse apply it to COVID-19. You're scared, right?",Negative,Others
Podcast update: please be advised unfortunately Ebony has tested positive for covid so there will be no episode this week and likely not next week either.,Negative,Health condition
"Why am I seeing people that didnt believe the news with covid , shitting themselves over what news are saying about the war. So we need to go through this again. Until you see bombs going off with ur actual eyes dont believe everything u see on news. Ffs",Negative,Trends
If someone dies in conflict in Ukraine and tested positive for covid is that registered as a covid death ?,Negative,Health condition
"Its now the turn of @BudgITgh
to share their findings

#GetInvolvedGH as we discuss the accountability gap in the Covid 19 responses of Ghana happening now!",Negative,Policies
The end times are the Baby Boomers' B2TF hover board. They were promised it all their lives and it never came to fruition. Now they cheer on every catastrophe out of hope they'll witness the apocalypse before dying of COVID.,Negative,Others
"Does anyone have experience with buying merch on ZAVZ? In November, I ordered two articles there but they still weren't delivered. I know due to Covid an all it takes longer but did anyone of you who ordered sth there get their product eventually?",Neutral,Others
"Nearly a million dead from COVID and the opening lines are a defense of NATO, a Cold War relic?",Negative,Others
Talking about COVID in a room full of maskless individuals who are at higher risk is just ironic #SOTU,Negative,Policies
"Ukraine's war is Biden and Democrat Socialist's replacement for Covid 19 in 2022.
War complicates election issues, high gas prices lessen movement of voters.
If Biden keeps war underway, 
gas prices high &amp; economy threatened voters more apprehensive to changes during wars.",Negative,Others
"I guess when your Presidential record on jobs, inflation, number of COVID deaths, etc., is the worst among the last 30 years &amp; is reflected in the lowest approval rating as well “37%” you just fill your State of the Union by claiming that the accomplishments of POTUS 45 are yours",Negative,Others
"Biden will claim victory on COVID, make empty threats to Putin, and will move on to why climate change is the next panic.

I ain't watching that shit..",Negative,Others
"Despite what @POTUS says about his #COVID response at the #StateOfTheUnion, keep in mind that his admin has pushed lockdowns, keeping kids masked at school, and forcing vaccinations with relentless rhetoric. He may have changed his tune, but his actions remain front and center.",Positive,Policies
what i really need in this covid isolation is the alamo drafthouse metal bowl of perfectly buttered popcorn,Positive,Health condition
From covid directly to war in the blink of an eye and some don't smell a rat?,Negative,Others
Children under 5 are not at risk from COVID.  They do not need the vaccine!   More harm than good!,Neutral,Vaccination & Treatments
"Hey @mitchellreports . We don't give a shit what Rubio says. Ask him his covid status?  
Disgraceful.",Negative,Health condition
"Where’s Covid?

Must not suit the politicians goals and aspirations any more",Negative,Others
winter is really not my season i swear i don't feel human until it starts getting warm out......... but also covid has me depressed as fuck because i did used to go out and be a dumbass but cold + i might get really sick?? no thanks,Negative,Health condition
So much talk about the removal of the mask mandate yesterday. People should do what they feel comfortable with. Wear one or don't. Either way let's respect eachothers choices #Masks #healthadvice #covid,Negative,Policies
thank god cats don’t get covid bc i wouldn’t survive this without my cat,Neutral,Others
Charlie Brown tweeting about the Mueller probe (with COVID-19)..,Neutral,Others
Will Vladimir Putin be nominated for the Nobel Prize in medicine for solving the COVID crisis?,Neutral,Others
Ohhh I smell a covid victory speech coming on,Positive,Others
"So was war the cure for covid, cause all of a sudden..",Negative,Others
These countries still asking for covid tests for fully jabbed travellers are not doing themselves any favours,Negative,Policies
"[Covid-19 2020 TIMELINE Feb. 28, 2020] Trump uses the Roy Cohn Handbook: Accuse opponents of doing what YOU'RE doing. “The Democrats are politicizing coronavirus. Coronavirus. They are politicizing it. We did one of the great jobs…This is their new hoax.”",Negative,Others
"South Dakota: 1 per 175 active Covid
Minnesota: 1 per 650
Florida: 1 per 14
Arizona: 1 per 69
Oregon: 1 per 24
New York: 1 per 9
Georgia: 1 per 14
3/1/2022
The sharp fall off in cases continues in, if I remember right, a very similar timeline as the flu of 1918",Positive,Trends
Where’s covid?,Neutral,Others
"I decided I’m not going to watch SOTU. The unchallenged lies about the great economy and how he defeated Covid will raise my blood pressure. Meanwhile inflation is killing us at the gas pump and elsewhere, and we are still in forced masks on DoD facilities.",Negative,Others
"Biden is going to talk about COVID for the 9th million time tonight. No thanks, I'll pass. He is the most uninspiring President, never mind human being I've ever seen give a speech. When you have no real conviction and are just for sale you bore people. Go along to get along Joe.",Negative,Others
So Covid done or what?,Neutral,Trends
"Ukrainian legislatures of all political persuasions would be elated to be able to attend a State of their Union tonight, @marcorubio won't attend over a stupid Covid Test.  Let that sink in. #SOTU #StateOfTheUnion #LittleMarco #Ukraine #UkraineWar",Negative,Others
What if Morrison uses long Covid as an excuse not to resume his duties as PM,Negative,Health condition
"Oh! You're experiencing numbness in your toes? By my best guess, you most likely don't have covid tbh. 
 Cooperate with the contact tracing procedures and gargle salt water!",Neutral,Health condition
"The same people who lied to you about Epstein Island, Covid, 9/11, and literally everything now want you to accept without question that the Ukrainian government is the good guy.",Negative,Others
Spoke to someone who is very anti covid yesterday. They were convinced that the pandemic was a hoax and the gov. stole 2 years off our lives bc.. Idk they felt like it. Then they told me they never consume any sorts of news. Nothing. Never. I was very surprised to learn that.,Negative,Others
"When I hear that we ""need to live with covid,"" I wonder what we have been doing the last 2 years. I having been ""living with covid"" by getting vaccinated, wearing a mask, and keeping my distance.  As we lift these health protections, many people will die, not live with covid.",Negative,Policies
Covid anniversary,Negative,Others
"COVID, can I go back to hugging humans?",Neutral,Others
"The estimated arrival time is 4 days, but it took 6 days.
Maybe it's because of the COVID-19 and the time difference.
I was really relieved because I thought it would take much longer even with EMS!",Neutral,Others
"You can’t build a wall high enough to keep out COVID but you won’t finish the wall on the southern border to keep out drugs,crime and illegal aliens",Negative,Others
Looks like Covid is over…not one child should have to wear a mask to school tomorrow.,Neutral,Policies
"COVID kept us apart last year, but this year we’re at war, so it’s fine.

#FateOfTheUnion #SnarkParty
#StateOfTheUnion #thesystemisdown",Positive,Others
"Feb 28 2021
18% vaxed, avg.covid deaths=1754/d
vs
Feb 28 2022
64.9% vaxed, avg.covid deaths=2029/d
Children still in cages
Record eviction rates
Brink of war
Inflation 7.5% &amp; min wage still $7.25
Record# of drilling permits
No student debt relief
Ended child tax credit
#SOTU2022",Neutral,Trends
"Ford is going to make masking and, more broadly, COVID fatigue, an election issue. He wants the PC's to be the party of pretending COVID is no longer a problem. I'm very worried that it's going to work. #onpoli",Negative,Policies
If Scomo  succumbs  to COVID will they report that he had underlying conditions. Stupidity and photo op disease #ScottyFromPhotoOps #ScottyDoesNothing #scottyfromhairdressing #ScottyTheCompletePsycho #ScottyFromWelding #ScottyTheAnnouncer #Scottythefukwit,Negative,Others
Shoutout to my UA for testing negative for COVID,Positive,Health condition
"I feel like all this war stuff is a distraction, just like covid was…",Negative,Others
Morrison having covid fog on top of his usual scrambled brain - what could possibly go wrong,Negative,Health condition
Stop looking at Covid as a partisan dividing line.,Neutral,Others
ughh i feel so ill i’m gonna do a covid test even tho i haven’t left my house in 4 days,Negative,Health condition
Health officials in South Korea are looking at easing COVID restrictions within the country. Currently there’s a 10pm curfew and 6 person gathering limit. There will be meetings today and tomorrow. It seems they’ve realised the restrictions are not having an effect on case no’s.,Negative,Policies
"The timing of the Ukraine / 
Russia War is very suspicious. Immediately at the end of Covid Mandates around the world and right after the Olympics. Is Putin ex WEF or is he acting he role for the great reset? China did their part. Now Russia?",Positive,Others
"Interesting to hear a drop of 28% in rent arrears evictions in nsw during covid &amp; big drop in social housing NCAT apps, says @Jemima2987 @TUNSW #NHCMelbourne",Neutral,Others
Fighting with each other over covid policies is a misdirection of anger.  DONT FORGET THIS VIRUS WAS CREATED AND UNLEASHED ON THE WORLD. That should be the direction of everyone's anger or frustration . Think of the people those people killed,Negative,Policies
For people who don’t “believe” in covid they sure do bring it up literally every single second of the day. A post about rabid animals in the area? The comments are all people complaining that the government is “just trying to scare them like they did with covid” I just can’t.,Negative,Others
"This week's edition includes articles about the Sheffield hurricane of 1962, a new Covid research study, friendship lunches, an engagement ring lost &amp; found, rows over grouse moors, closure of the Snake Pass, Paul Blonfield MP standing down, SRSB celebrations and Sheffield cider.",Neutral,Others
"covid last longer than my relationship
-aulia",Negative,Others
it felt like going back to school after summer today bc we got new timetables and room changes bc covid restrictions are gone it was so odd,Positive,Policies
"I’m so over this Covid shit….was booking a cruise, when I read that you have to be vaccinated in order to board the ship….fucking ridiculous.",Negative,Policies
Buy American - um isn't that Trumps line - cheat an election by stealing and stealing Trumps words.  You are a piece of work that's for sure. Hey Biden how about the COVID test kits made in China you bought. #StateOfTheUnion,Negative,Others
BULL SHIT Covid Kim #SOTU,Negative,Others
How did the #Science change all in one day? #TheStateOfTheUnion changed the science for #Covid-19 for the #SOTU to be a maskless event.,Negative,Policies
"Utah Senate unanimously approves the Education Budget, with a 6% boost to per-student spending, $10M in COVID related teacher bonuses and $250M in one-time funds for training days and other initiatives. #utpol #uted #slc",Positive,Others
"Inflation up 7-10 percent, COVID isn’t completely gone and jobs are offering $13/hr, that’s sick",Negative,Others
Asking Americans not to see Covid has a party dividing line. To get vaccinated so we can get back to normal as quickly as possible. #SOTU #MSNBC,Positive,Vaccination & Treatments
"dear covid

if i was your mother",Negative,Others
#StateOfTheUnion  Many veterans were in the nursing homes that Cuomo and Murphy sent more infected COVID people into those homes and killed many.  Not exactly helping those veterans eh?,Negative,Health condition
So Marco Rubio isn’t at the SOTU because he didn’t have time to get a Covid test?  As a Floridian I have an idea -let’s elect Val Demings and give him plenty of time to do whatever he wants.,Negative,Health condition
Democrats are not wearing masks at the SOTU? No vaccine passports? And just like that there’s no Covid….,Negative,Policies
"Am I positive for Covid 19?
No way 3:30

809:00",Neutral,Health condition
"It’s a dark day for Aotearoa. To see so many people down the rabbit hole, spouting lies about Covid, lies that the Ukraine invasion was a lie to cover up what’s happening in NZ, burning a playground and throwing bricks at the police.",Negative,Others
"When I say my child is obsessed with my aunt, I’m not joking. She asked me if she can get sick with Covid to go stay with my aunt since her and my uncle have it",Negative,Health condition
How fast the topic of covid disappeared,Neutral,Trends
"Covid is the worst thing I've ever experienced, i can't stop drinking, im coughing my lungs out, im really light headed and i feel overall really shitty",Negative,Health condition
I believe everyone in the office got covid at the same time bc we got some grown women who can’t stop picking their nose and licking their fingers to flip through files.,Negative,Health condition
"Here's Pros and Cons. Easting Covid Guidelines. A reverse Radio Shack. Cinnabon Cashier, you're the one that buys 6 for yourself. Con was the same as before, LOL. Having to watch concert through the phone of someone else, This could have been a zoom. @FallonTonight #FallonTonight",Positive,Policies
real ones still never got covid,Neutral,Health condition
"People think that ignoring unsavory realities for long enough will cause them to simply disappear. COVID, climate change, anti-Semitism, racism, fascism – all of these live among us, still. And pretending that their impact doesn't matter will only hurt us in the end.",Negative,Others
Jobs increased due to Covid being dismissed. People who were laid off went back to work. The lies,Negative,Others
Lift the Covid test before travel back to the United States @POTUS,Neutral,Policies
Covid vaccines were not free for all.  Insurances were charged for each dose,Negative,Vaccination & Treatments
"School Board votes to approve removing the mask mandate effective immediately. 
~~~~
World is going back to pre covid era, hopefully it will be ok",Positive,Policies
When se Said we're done of the covid vírus we didnt mean bring some other shit,Negative,Others
Covid vanished.,Neutral,Trends
My dad may have covid,Negative,Health condition
"My brother just tested positive for covid and my mom is feeling really bad now too, oh no",Negative,Health condition
Be prepared for #KingCharles and Prime Minister #PeterDutton! #Covid_19,Positive,Others
"I have an entire bag of dried organic lavender buds that I will never use. Every time I open the cabinet it just reminds me of the beginning of covid, and how heart broken and fucked up in the head I was.",Negative,Others
"Are you a nurse working at a hospital or long-term care facility? 

@gridnews reporters @alex_leedsmatts and @evolambert would like to talk to you about how covid has affected your work environment.

DM them or email at jlambert@grid.news and amatthews@grid.news.",Neutral,Others
"i cant believe i got covid twice man

last time was 2020 ;;;;;",Negative,Health condition
"Hundreds of Migrant workers died due to unplanned lockdown.

Thousand died due to Covid Mismanagement.

Hundreds of farmers died due to anti farm laws.

An Indian student in Ukraine died due to delay in evacuation

Be it any crisis modi proved himself a Disaster

#IndiaHasWeakPM",Negative,Policies
Loona getting covid and missed first round of queendom ….,Negative,Health condition
#GQP members of Congress like @marcorubio @ScottforFlorida think they are too important to take a COVID test. You work for us. You are too lazy &amp; filled with hate for our country to do your job. #VoteThemOut,Negative,Health condition
The day I’ve been dreading for two years. My parents have Covid. They’ve been extremely cautious because of my mom’s health. Now we just hope the vaccines do their job.,Negative,Health condition
If my kids daycare has covid I’m keeping the home for them 2 weeks not 5 days .. shit is not even half way out of someone’s system .. these people are crazy.,Neutral,Others
"A new variant is already here. Introducing....

BA.2 

#SOTU #Covid",Negative,Trends
Hopefully he gets some COVID KISSES TONIGHT #SOTU,Negative,Others
We had our second drug overdose death of the new year in our buildings this week. I feel COVID has distracted us from this plague.,Positive,Others
"I’m in a new phase of following people that are truly awake. World war 3 bullshit gets a follow, but if you believe after the Covid shit unfollowed haha",Negative,Others
Hey @KimReynoldsIA …. Ohio’s GOP Governor brought us to the top of the COVID death rate. Now that’s hitting it head on don’t you think.,Negative,Trends
Ordered an item from a private company the other day and already they're blaming Ukraine for any potential delay! Could it be Ukraine is the new corporate Covid?!,Negative,Others
I carry stress in my throat so during covid times I am stressing over the managing of my stress,Negative,Health condition
"Want to stop
Drug addiction
Covid
Violent crime 
Gun violence

SHUT DOWN THE DAMN BORDER JOE",Negative,Others
"Covid or no covid, I can't help but think about how much I would have preferred remote learning in high school",Neutral,Others
I could’ve been consistent if that stupid ads Covid vaccinate mandate was never around . I couldn’t make that trip to the burbs every other day,Negative,Vaccination & Treatments
"I’m gonna need to know why Biden thinks it is ok to let 3,000 Americans a day die of COVID and is endorsing bad advice by the CDC regarding masks....how can we have a good economy when people aren't even being kept safe in their workplaces &amp; risk death by going? #StateOfTheUnion",Negative,Others
Go figure all this happened a week before the SOTU and now Covid is gone... Bravo Brando!!!,Neutral,Others
I've been hearing reports that another person in Australia has caught Covid... We'll attempt to update with details as soon as they come to hand. Tragic news. Hard to comprehend. Let's try to unite as a nation.,Positive,Health condition
I hope its nothing i dont want covid mannnnn,Positive,Health condition
"Hopefully there’s no new COVID variants anytime soon,",Positive,Trends
#ScottyDoesNothing has covid?,Neutral,Health condition
"#TV9Telugu have you questioned a government on drainage holes and roads that are damaged... stop your unnecessary news on traffic challan... at least u should understand that due to pandemic of covid, government given discount on challan fee.",Negative,Others
"Biden declares a ""new moment"" in the war on Covid19, shunning the idea of ""living with Covid"", against the advice of some Democrat strategists, who had hoped to see the back of the pandemic politically.",Neutral,Others
Republicans didn’t show up to the #StateOfTheUnion because they didn’t want to get tested for COVID-19,Negative,Health condition
Anyways so I have Covid and I’m just having regular snot I’m having bloody snot because my nose is probably really dry from losing so much snot,Negative,Health condition
"Has the World Health Organization declared the pandemic over? No. Just because a populist that tends to follow Alberta and Saskatchewan like a lost little brother says so, or admits they are done with COVID or has their CMO say learn to live with it, WHO is still the expert.",Negative,Trends
"Heading back to the gym for the first time since catching covid two weeks ago. 

Will I be able to bench press over 100kg?",Positive,Health condition
"Triple vaxxed friend WITH covid, boarded a plane today. But I can’t. Make it make sense. #COVID #COVID19 #EndTheMandatesNow #TrudeauForTreason",Negative,Health condition
By the way wa under level 2 covid restrictions soo no more than 10 people inside at private homes and mask everywhere from this week,Neutral,Policies
Mr. President Covid did not keep us apart you did. Your policies pitted vaccinated against the unvaccinated. Masked against the unmasked. Shame on you! #StateOfTheUnion,Negative,Policies
"My personal #StateOfTheUnion update...covid lockdowns + inflation = homeless and begging for spare #Bitcoin on #Twitter #Digitalcupshaker Anything will help #GodBless #FJB

3KW8X9DHJFDiTrPT9VWdh6fhxyGu4sVXvr",Negative,Others
"Before I go to bed I want to tell you all how much I love seeing you on here &amp; learning new things.

There is no denying that we may well be on the brink of a 3rd world war,  Covid still kills every day while we end protections, &amp; Trump is still a threat. 

It's a lot. Breathe.",Negative,Others
covid expiration date: march 1st 11:59pm,Neutral,Others
Can we have a family meeting about high fuel prices like we did with high covid numbers. This is another overlooked pandemic.,Negative,Others
"The media and politicians have lied to us about Covid, the vaccines, the 2020 election, why would they would they tell us the truth about Ukraine?",Negative,Others
"New Zealand to Drop Covid Isolation for Vaxxed Travelers.
PM Ardern has announced NZ will be ditching its Covid-19 travel requirement 4 vaccinated travelers to isolate for a week upon arrival(UPI). Restriction will be lifted Wed after the virus has become more of an endemic in NZ",Positive,Policies
"Many who I would have lots of respect for, pre covid, have absolutely lost any shread of respect I had left in them. They are 100% manipulated and brainwashed by the mainstream media. I'm not saying Russia are the good guys but it is most certainly not how its portrayed.",Negative,Others
The left has been using Covid to divide since the very beginning.,Negative,Others
I'm turning 29 this year. Covid started when I was 26. It feels like I was robbed of the last years of my 20s. It sucks.,Negative,Others
"So when the police investigation into Party Gate has ended are we seriously going to kick Boris out..

..in the middle of this Ukrainian crisis?

Even if he's been going round sneezing Covid into people's hands?",Neutral,Others
where are all the masks??  There's an awful lot of hugging and kissing during #covid.  It's giving me anxiety!! #SOTU,Negative,Policies
I actually do have covid this time twitter lmaooo this was inevitable,Neutral,Health condition
First they punish us with Covid and then they punish us with Joe Biden!,Negative,Others
"Explain how allowing a mask mandate to end in WA-earlier-for public schools is going to keep kids from getting covid, keep staff in place teaching, ease a sub-drought, &amp; keep schools in-person? This is a completely non public health decision &amp; instead a “we give up” move. #Masks",Neutral,Policies
"The CDC ended masking on Friday, Congress ended masks on Sunday, New York &amp; NYC ended masking &amp; covid vaccine mandates this week. Now California, Washington, &amp; Oregon end school masks today. Joe Biden speaks tomorrow. The “science” was all bullshit.",Positive,Policies
I haven't caught covid and vaccinated #StateOfTheUnion,Positive,Health condition
Governor Reynolds on COVID and parents and borders was out dated and misleading.,Negative,Others
I ain't forget that ya'll conspiracy theorists told us that 5G gave us COVID and rebirthed the Flat Earth theory when the pandemic first started.,Negative,Others
funny how this Ukraine shit happens and boom Covid is over hahahhaha,Negative,Others
Now that California is dropping mask mandates I have to wear the fucking n95 that ruins my hair and makes me look like a duck. Or get covid. So pissed.,Negative,Policies
"Tonight @POTUS will be able to elucidate empirically verifiable accomplishments during his 1st year in office. Under his watch the U.S. has seen unparalleled job growth, successful navigation steering the economy from ruin during the Covid pandemic. Passing relief packages that..",Positive,Others
The truth is that the silence and historical revisionism of the COVID cult actually reflect deep insecurity about what’s transpired with the response to COVID and the role they played in it.,Positive,Others
i would be able to go to the Vegas show BUT MY MOM DOESNT WANT ME TO BECAUSE OF COVID. IM SO MAD,Negative,Others
Very weird that the current administration is doing a victory lap on Covid while 2000 people continue to die each day from it.,Negative,Trends
"Wow.. Really? Twatter won't let me post the link. It's on Rumble though.. 

Texas Middle School Teacher Caught on Video: ‘Those Conservative Christian People, They Need to Die. They Need to Get COVID and Die’",Negative,Others
"Do vaccinated people resent the fact that non vaccinated people didn't get covid?

Do we need to be punished or apologised to?",Neutral,Vaccination & Treatments
"2022 #SOTU is about to be like ""Help is on the way!!! To Ukraine not you stupid voters, also everything will continue to get way more expensive. PS I beat covid, mission accomplished""",Negative,Others
"Biden’s response on COVID is to protect with vaccines as well as ensure parents with younger children have the necessary vaccination, he is effectively promoting vaccines by using facts such as the Pfizer pills that reduce the chances of ending up in the hospital by 90% #mechsotu",Positive,Vaccination & Treatments
i’m picking up my adderall once i’m covid free so five bite diet here i come !!,Positive,Health condition
Oh ffs now I’ve got covid,Negative,Health condition
Breaking …. Gullible Irish who believe Irish media .. demand Russian ambassador be arrested for killing covid within 24 hrs … @drivetimerte,Negative,Others
"#Covid_19 ""mask"" Rules as of today for L.A. County - Masks required for employees of indoor businesses. Proof of vaccination or #CovidTest required to enter without a mask. Honor system accepted! #WTF?",Neutral,Policies
"With the kids back to school and all the changes in England RE: Covid, you can see how silly is to think on ""personal responsibility"" terms. It's all down to ""we were doing it because we were forced to"". It is as simple as that.",Negative,Others
"How can we possibly have a man coaching England who can’t see that Connor is better than Evalds, G King is better than Oledzski or T King is better than Dan fucking Sarginson. Did Wane pick this squad pre Covid?",Neutral,Others
"My journey to baby was put on pause because having Covid really messed me up. 

The time line is wrinkled but the plan is still in play.",Negative,Health condition
my sisters principal has covid,Positive,Health condition
"1st day of covid +ve, whole body aching combo with high fever. Dang.",Negative,Health condition
I’m guessing that none of the stupid GOP refusing to attend tonight’s SOTU because of covid testing still won’t he named the designated survivor.,Negative,Others
22k covid cases in nz today,Negative,Trends
Got covid right before my 3 days off. FFS.,Negative,Health condition
Are non citizens traveling to Namibia required to take a covid test?,Neutral,Policies
"Oregon announced yesterday it is removing all mask mandates and Covid measures on 3/12. It also reported 40 deaths.

Today we started letting our sons' non-family care providers that we will be laying them off for at least a month starting 3/12. ""Bubbling"" will be impossible.",Negative,Policies
"Biden: with my Justice Department there will be a Chief Prosecutor of Covid fraud….So, like indict China first?  (Waiting…) #SOTU #COVID",Neutral,Others
im sick but its not covid then wtf is it,Negative,Health condition
WTF did he just say?!  A fence can’t keep Covid out?  #SOTU,Neutral,Policies
"Spent 2 years avoiding covid, tear gas, and every sort of chud, for people to back nato and nazis in the year 2022...
Y'all on some serious fucking trash",Negative,Others
so there's this episode of x-men tas where a plague outbreak happens and mutants are blamed for it and man it's so eerie watching it with the covid pandemic still going on,Positive,Others
"As soon as the COVID “crisis” stopped benefitting Democrats politically, it was declared over. 

It - or another putative crisis - will be unboxed if and when Democrats need it again.",Negative,Others
convinced i have covid even tho i tested negative,Neutral,Health condition
"African countries failed its people when plenties of African are stuck in Ukraine. How come White Countrie embassy do better than black one. They help people during covid to go back home and yet Nigeria embassy are like "" we can't help yall"" #idiots",Negative,Others
Is Covid-19 not a pandemic again?,Neutral,Trends
how do i tell if i have a chest infection or if this is just long covid nonsense,Positive,Health condition
"At some point we need to come to grips with the most devastating loss Covid has caused, which is my enthusiasm for awards season.",Neutral,Others
You can order more home covid tests starting next week,Positive,Vaccination & Treatments
"Pfizer report indicates that 2.9% of the people who participated in the trials of their vaccine are now dead.

The death rate for COVID-19 is .003%.",Positive,Vaccination & Treatments
Just saw a commercial for ORAL TREATMENT IF YOU HAVE COVID. FROM PFIZER.. MUST BE WITHIN 5 DAYS. Guess they gonna be the hero with failed vaxxes. But no warnings or anything like normal drug commercials. Maybe 75 years to disclose these ingredients that work??? Assholes.,Positive,Vaccination & Treatments
theatre filling up if i become apart of a covid cluster it will be worth it,Neutral,Others
"The same people who lied to you about Epstein Island, Covid, 9/11, and literally everything - and now want you to accept, without question, that the Ukrainian government is the “good guy”? Let thank sink in….",Negative,Others
"You have been punishing, using Covid to ruin the US. #fu",Negative,Others
"#BREAKING The regulations requiring COVID-19 vaccination as a condition of deployment in health and social care *will* be revoked on the 15th of March. 

Those working in health and social care will now no longer be mandated to be double jabbed.",Negative,Vaccination & Treatments
"Anyone looking to get rid of #Masks should be forced to ride an airplane from Florida to the Midwest and count the number of

1. Coughing
2. Pulling masks away to sneeze
3. Pulling masks away to talk

tell me it’s the smart choice. You’re kidding yourself. #Covid_19 will return",Negative,Policies
"Update: Haris Rauf has tested positive (Rapid Antigen Test). He has been isolated. Further details will be provided in due course.

@HarisRauf14

#COVID19 #COVID",Neutral,Health condition
"A sad day for the club as the belated Friday night end of season awards evening has resulted in an outbreak of Covid amongst the team. A first loss will be posted tonight and the unbeaten run comes to an end, albeit not lost on the pitch.",Negative,Health condition
3/1/2022: Biden at SOTU calls for children toddlers babies under five years old to get COVID VAX! — HELL NO. RESIST. STOP THIS INSANITY.,Negative,Policies
Bidon talking about incredible medical advancement with Covid treatment.,Positive,Vaccination & Treatments
"BIDEN: ""stop looking at COVID-19 as a partisan dividing line and see it for what it is: A God-awful disease.""",Negative,Others
"Covid and injuries have already taken away 2, 162 game prime seasons from Mike Trout. Please @MLB don’t make it 3",Negative,Trends
I HAVE COVID WTF BRO,Negative,Health condition
"1st Covid-19 robbed us of baseball, now it's Manfred-22's turn.  #mlblockout",Negative,Others
"Once they’re eligible, all New Yorkers 12 and older should get a free COVID-19 vaccine booster shot after receiving their full vaccine series.",Neutral,Vaccination & Treatments
"So we are going to beat cancer, diabetes, and Alzheimer’s but we can’t actually beat #Covid_19! No, people are too fucking tired to do that. #StateOfTheUnion @POTUS couldn’t even mention our families.",Positive,Others
We’re finally back under 100 COVID cases per day in Allegheny County!,Positive,Trends
"I feel that I’m supposed to feel good about the state of COVID-19 from this speech but I mostly feel confused, especially as a parent of a child under 5. #SOTU",Negative,Others
And there it is. Biden now trying to push that he fixed COVID and that's the reason why mandates are loosening.,Negative,Policies
i think i have covid …,Negative,Health condition
Errr feeling dead? I kinda had my second covid jab and i feel dead,Negative,Health condition
"There was no plan for COVID-19, no “cookbook.” Yet healthcare providers stepped up for cancer patients. We spoke to a few of them to talk about the role of innovation and teamwork. Watch the full video. #COVID19 #resilient",Negative,Others
"A loss of appetite and a fever? Honestly, the chance you have COVID-19 is low. 
 Go to sleep and wash your hands often!",Neutral,Health condition
The one thing Putin accomplished is he has beat Covid in America.,Positive,Others
fuck im definitely sick i hope to god its not covid,Negative,Health condition
"#Employers_Stop_Delaying_Salaries
Dear @COTU_K @AtwoliDza &amp; @LabourSPKE, Most of Kenyan workers are facing Salary delays from their Employers since 2020 Covid_19 Pandemic outbreak, Kenya should follow UAE ???? workers reforms 2022.
@srckenya @FKEKenya @StateHouseKenya @COTU_Kenya",Negative,Others
// hoping that feeling ick is just lack of sleep and stress. I stg if I get Covid again. I feel like this is kind of how it felt at first.,Negative,Health condition
"New Zealand to Drop Covid Isolation for Vaxxed Travelers

PM Jacinda Ardern has announced the country will be ditching its Covid-19 travel requirement for vaccinated travelers to isolate for a week upon arrival. (UPI) - RT",Neutral,Policies
"So, you can get tested at a pharmacy and if positive immediately get a pill to treat you. Insulin, however, that's going to cost you. Come on Pfizer, let's do a 2 for one. Your making tons on Covid vaccines the government is paying for, throw in $35 insulin.",Negative,Vaccination & Treatments
I can’t believe my momma got Covid again .,Negative,Health condition
this covid pandemic has to be one of the major historic events,Neutral,Others
"First, all my support to residents of Ukraine. ????

Please also take care of your teams and families during these moments of trouble.

It adds to the COVID crisis in our global mental fatigue, even if no relatives are directly impacted.",Positive,Others
The Pfizer vaccine for children works well for severe Covid illness but offers no protection against infection.,Negative,Vaccination & Treatments
